No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
41,Cyber-Industrial,General,"Hard edges, tactical, dark mode, high-contrast, mechanical, grid-based, functional, raw","Pure Black #000000, Industrial Yellow #FACC15","Deep Grey #121212, Alert Red #EF4444","Hard corners (0px), 2px solid borders, visible screws/brackets (SVG), data-dense, rapid interactions, terminal fonts","Dev tools, cybersecurity platforms, complex dashboards, high-tech industrial, technical apps","Lifestyle apps, wellness, e-commerce, children apps, minimal creative",✗ Poor,✓ Full,⚡ Excellent,✓ High,✓ High,✓ High,"Tailwind 10/10, CSS 10/10","Industrial Cyberpunk",Low,"Design a cyber-industrial UI. Use hard 0px corners, industrial yellow and black, and 2px solid borders. Include visible mechanical elements like brackets or screws (SVG). Data-dense and high-contrast functional feel.","background-color: #000, color: #FACC15, border: 2px solid #FACC15, font-family: 'JetBrains Mono'","☐ Hard 0px corners verified, ☐ Industrial yellow/black palette, ☐ 2px solid borders used, ☐ Mechanical SVG elements included, ☐ Data-dense functional layout, ☐ High-tech industrial tone","--bg-industrial: #000, --accent-industrial: #FACC15, --border-width: 2px"
42,Retro-Digital (90s),General,"Nostalgic, 90s, grey, bevel, default system, blue links, pixel, Windows 95, tech-retro","Grey #C0C0C0, Blue #0000FF","White #FFFFFF (highlights), Dark Grey #808080 (shadows)","Beveled borders (outer/inner), pixelated iconography, default system fonts (MS Sans Serif), instant feedback, blue underlined links","Nostalgic sites, niche tech blogs, dev tools, artistic projects, counter-culture brands","Modern SaaS, healthcare, finance, premium luxury, general consumer apps",✓ Full,✗ Poor,⚡ Excellent,✓ High,✓ High,✗ Low,"Tailwind 8/10, CSS 10/10","90s Computing",Low,"Design a 90s retro-digital interface. Use the Windows 95 grey palette, beveled borders, default system fonts, and blue underlined links. Pixelated icons and instant interaction feedback. Nostalgic tech feel.","background-color: #C0C0C0, border: 2px outset #fff, font-family: 'MS Sans Serif', color: #000","☐ 90s grey palette #C0C0C0, ☐ Beveled borders (outset/inset), ☐ Default system fonts MS Sans Serif, ☐ Blue underlined links used, ☐ Pixelated iconography included, ☐ Nostalgic 90s tech feel","--bg-90s: #C0C0C0, --border-bevel: 2px outset #fff, --blue-link: #0000FF"
43,Modern Dark (Cinema Mobile),Mobile,"Deep black, cinematic, ambient light, premium, immersive, minimal, smooth, high-end, mobile","Pure Black #000000, Deep Indigo #1E1B4B","Vibrant Accent (Pink/Cyan), White #FFFFFF (text)","Ambient glow effects, smooth fade-to-black transitions, high-contrast imagery, minimal chrome, premium haptics, OLED optimized","Entertainment apps, cinema/video platforms, premium lifestyle brands, high-end mobile portfolios","General SaaS, data-dense tools, utility apps, children apps, daylight-only tools",✗ Poor,✓ Full,⚡ Good,✓ High,✓ High,✓ High,"React Native 10/10, Expo 10/10",2020s Cinematic,Medium,"Design a modern cinematic dark mode mobile UI. Use pure black background with deep indigo and vibrant accents. Include ambient glow effects and smooth fade transitions. OLED-optimized and premium immersive feel.","background-color: #000, color: #FFF, box-shadow: 0 0 20px rgba(99,102,241,0.2), transition: opacity 0.4s","☐ Pure black background OLED-ready, ☐ Cinematic ambient glow effects, ☐ Vibrant neon-tinted accents, ☐ Smooth fade-to-black transitions, ☐ Minimal chrome verified, ☐ Premium immersive tone","--bg-cinema: #000, --accent-glow: rgba(99,102,241,0.2), --transition-cinema: 0.4s"
44,Playful (Cartoon Mobile),Mobile,"Colorful, rounded, bubbly, friendly, animated, kids, energetic, vibrant, simple, accessible","Bright Blue #3B82F6, Sun Yellow #FACC15","Vivid Pink #F472B6, Lime Green #A3E635","Bouncing animations, large rounded corners (24px+), thick borders (optional), playful icons, rapid interactive feedback","Children apps, educational mobile, casual gaming, playful consumer brands, youth-focused apps","Formal finance, healthcare (doctors), enterprise, government, luxury brands",✓ Full,✗ Poor,⚠ Moderate,✓ High,✓ High,✓ High,"React Native 10/10, Expo 10/10","Playful 2020s",Medium,"Design a playful cartoon-style mobile UI. Use bright primary colors, massive rounded corners (24px+), and bubbly animations. Focus on friendly icons and rapid interactive feedback. Energetic and approachable for kids/youth.","border-radius: 24px, background-color: #FACC15, transform: scale(1.1) on hover, transition: transform 0.2s cubic-bezier(0.175, 0.885, 0.32, 1.275)","☐ Bright primary color palette, ☐ Massive rounded corners 24px+, ☐ Bouncy/playful animations verified, ☐ Friendly cartoonish iconography, ☐ Energetic approachable feel, ☐ Rapid interactive feedback","--radius-playful: 24px, --bounce-easing: cubic-bezier(0.175, 0.885, 0.32, 1.275), --color-sun: #FACC15"
45,Tactical Mobile HUD,Mobile,"Precision, technical, data-heavy, military, HUD, dark mode, high-contrast, compact, efficient","Pure Black #000000, Tactical Green #22C55E","Amber #F59E0B, Slate 900 #0F172A","Micro-grids (4-8px), glowing borders (1px), rapid data streaming, corner brackets, monospace fonts, fast transitions (100ms)","Trading platforms, cybersecurity mobile, IoT monitoring, flight/navigation tools, complex data apps","General consumer apps, lifestyle, marketing landing pages, children apps, minimal creative","✗ Poor","✓ Full","⚡ Excellent","⚠ High density complexity","✓ High","✓ High","React Native 10/10, Expo 10/10","Military/Technical",Medium,"Design a data-dense tactical HUD for mobile. Use pure black background with tactical green and amber accents. Include micro-grids, corner brackets, and glowing borders. Prioritize data density and rapid updates with monospace fonts.","font-family: 'JetBrains Mono', background: #000, border: 1px solid #22C55E, density: tight","☐ Tactical green/amber on black, ☐ Micro-grid structure (4-8px), ☐ Monospace data fonts verified, ☐ Corner brackets on data cards, ☐ Data density maximized, ☐ Rapid 100ms transitions","--bg-tactical: #000, --accent-green: #22C55E, --grid-size: 8px, --font-mono: JetBrains Mono"
46,Bento Grid Mobile,Mobile,"Modular, cards, structured, clean, Apple-style, hierarchy, responsive, modern, tactile","Neutral Palette (White/Black)","Brand Primary accent","Modular bento grid, rounded corners (16-20px), subtle shadow (lift), scale 0.98 on press, consistent spacing (12px)","Mobile dashboards, profile pages, feature navigation, product catalogues, settings, landing screens","Long-form reading, storytelling-first, minimal editorial, high-density tables","✓ Full","✓ Full","⚡ Excellent","✓ High","✓ High (Thumb Zone)","✓ High","React Native 10/10, SwiftUI 10/10","2020s Apple-style",Low,"Design a Bento Box mobile layout. Use modular cards with rounded corners (16-20px). Cards should have a subtle lift shadow. Add a scale 0.98 effect on press. Ensure 12px consistent spacing throughout. Apple-inspired structure.","display: flex, flex-direction: column, gap: 12px, border-radius: 20px, box-shadow: 0 4px 6px rgba(0,0,0,0.05)","☐ Modular bento cards verified, ☐ Consistent spacing 12px, ☐ Rounded corners 16-20px, ☐ Subtle lift shadow on cards, ☐ Press scale 0.98 verified, ☐ Modern Apple-style structure","--radius-bento: 20px, --spacing-grid: 12px, --shadow-lift: 0 4px 6px, --press-scale: 0.98"
47,Accessible Mobile (Standard),Mobile,"Universal design, high contrast, large text, clear icons, inclusive, safe, readable, simple","High-Contrast Palette (WCAG 7:1)","Accessible Neutrals","Large touch targets (48px+), zero dark patterns, clear focus states, legible fonts (18px+), high-contrast borders","Healthcare apps, government mobile tools, utilities, elder-care, accessibility-first platforms","Entertainment-only, experimental creative, gaming, high-speed trading tools","✓ Full","✓ Full","⚡ Excellent","✓ WCAG AAA","✓ High","◐ Medium","React Native 10/10, Expo 10/10","2020s Standard",Low,"Design an accessibility-first mobile UI. Prioritize high contrast (7:1), large touch targets (48px+), and legible font sizes (18px+). Ensure focus states are extremely visible and there are zero dark patterns. Simple and inclusive.","font-size: 1.125rem, line-height: 1.5, touch-target: 48px, border: 2px solid primary, focus-ring: 3px","☐ WCAG AAA contrast 7:1, ☐ Touch targets ≥ 48x48px, ☐ Legible font size 18px+, ☐ No dark patterns verified, ☐ High-visibility focus states, ☐ Inclusive simple navigation","--min-touch: 48px, --font-size-base: 18px, --contrast-goal: 7:1, --border-focus: 3px"
48,Organic Fluid Mobile,Mobile,"Soft, natural, flowing, curved, earthy, sustainable, approachable, calm, eco, smooth","Leaf Green #22C55E, Earth Brown #78350F","Sky Blue #38BDF8, Soft Neutrals","Morphing SVG shapes, smooth fluid easing (600ms), curved containers (radius 40px+), natural textures, subtle parallax","Eco-friendly brands, wellness apps, agriculture tools, meditation apps, sustainable marketing","Fintech, cybersecurity, industrial tools, high-speed dashboards, technical products","✓ Full","◐ Partial","⚡ Good","✓ High","✓ High","◐ Medium","React Native 9/10, SVG 10/10","2020s Modern",Medium,"Design a fluid organic mobile UI. Use nature-inspired colors, morphing SVG shapes, and very large rounded corners (40px+). Transitions should be fluid and smooth (600ms). Natural and sustainable feel.","border-radius: 40px, clip-path: url(#fluid-shape), background: #F0FDF4, transition: all 0.6s ease","☐ Nature-inspired palette, ☐ Large rounded corners 40px+, ☐ Morphing SVG fluid shapes, ☐ Smooth easing 600ms, ☐ Natural sustainable feel, ☐ Approachable calm tone","--radius-fluid: 40px, --easing-fluid: 0.6s, --color-nature: #22C55E"
49,High-End Minimal Mobile,Mobile,"Luxury, elegant, exclusive, premium, monochromatic, gold accent, clean, spacious, structured","Black #000000, White #FFFFFF","Gold #D4AF37, Silver #C0C0C0","High-contrast monochrome, ultra-sharp edges (0px), 1px borders, typography-first, smooth transitions (500ms), luxury haptics","Luxury e-commerce, premium brands, high-end portfolios, exclusive services, boutique apps","Budget brands, playful consumer tools, kids apps, data-dense dashboards","✓ Full","✓ Full","⚡ Excellent","✓ High","✓ High","✓ High","React Native 10/10, SwiftUI 10/10","Premium 2020s",Low,"Design a high-end minimal mobile UI. Use monochromatic colors with a single gold/silver accent. Maintain ultra-sharp edges (0px) and clean 1px borders. Focus on typography and massive white space. Premium and exclusive feel.","font-family: 'Playfair Display', letter-spacing: -0.02em, border: 1px solid #000, border-radius: 0, padding: 2rem","☐ Monochromatic palette + gold accent, ☐ Sharp 0px corners verified, ☐ Clean 1px borders, ☐ High-end typography focus, ☐ Massive white space, ☐ Exclusive premium tone","--radius-none: 0px, --border-luxury: 1px solid #000, --accent-gold: #D4AF37, --font-luxury: Playfair Display"
50,Kinetic Brutalism Web,General,"Aggressive, high-energy, marquee, motion, bold, black/white, yellow, raw, impact, loud","Acid Yellow #DFE104, Pure Black #000000","White #FFFFFF, Pink #FF00FF","Infinite marquee loops, rapid color flips, hover flood inversion, 0px radius, 2px borders, haptic feedback, massive display type","Creative agencies, brand flagships, underground culture, performance apps, sports, events","Healthcare, finance, kids apps, calm informational platforms, government, conservative","✗ Poor","✓ Full","⚡ Excellent","⚠ Motion sensitive","✓ High","✓ High","Tailwind 10/10, Framer Motion 10/10, Reanimated 10/10","2020s Kinetic",High,"Design a Kinetic Brutalist interface. Use Acid Yellow #DFE104 and Pure Black. Include infinite marquee loops, rapid color flips (flood inversion) on interaction, 0px radius, and thick 2px borders. Aggressive, loud, and high-energy feel.","background-color: #000, color: #DFE104, border: 2px solid #DFE104, font-weight: 900, text-transform: uppercase","☐ Acid yellow/black primary palette, ☐ Infinite marquee loops implemented, ☐ Color flood inversion on interaction, ☐ Massive display type 900+, ☐ 0px sharp corners verified, ☐ High energy aggressive tone","--bg-kinetic: #000, --accent-acid: #DFE104, --border-width: 2px, --font-weight: 900"
